created_at (SGT),temp,humidity,gas,dampness,bin depth,human count,satisfaction,,,,
7/10/2023 22:55,30.5,64,1796,4095,15,2,4,,,,
7/10/2023 23:05,30.4,64,1796,4095,15,0,4,,,,
7/10/2023 23:15,30.4,65,1793,4095,15,1,4,,,,
7/10/2023 23:25,30.4,65,1780,4095,15,0,5,,,,
7/10/2023 23:35,30.4,65,1780,4095,15,0,4,,,,
7/10/2023 23:45,30.4,65,1780,4095,15,0,5,,,,
7/10/2023 23:55,30.4,65,1780,4095,15,0,4,,,,
8/10/2023 0:05,30.4,65,1800,4095,15,0,3,,,,
8/10/2023 0:15,30.4,65,1780,4095,15,0,4,,,,
8/10/2023 0:25,30.4,65,1798,4095,15,0,3,,,,
8/10/2023 0:35,30.4,65,1896,4095,15,0,4,,,,
8/10/2023 0:45,30.4,65,1912,4095,15,0,5,,,,
8/10/2023 0:55,30.4,65,1911,4095,15,0,4,,,,
8/10/2023 1:05,30.4,65,1910,4095,15,0,3,,,,
8/10/2023 1:15,30.4,65,1908,4095,15,0,3,,,,
8/10/2023 1:25,30.3,66,1918,4095,15,0,4,,,,
8/10/2023 1:35,30.3,66,1911,4095,15,0,3,,,,
8/10/2023 1:45,30.3,66,1909,4095,15,0,5,,,,
8/10/2023 1:55,30.3,67,1908,4095,15,0,3,,,,
8/10/2023 10:31,30.4,61,2311,4095,15,5,3,,,,
8/10/2023 10:41,30.4,61,2116,4095,14.5,10,3,,,,
8/10/2023 10:51,30.7,59,2389,3397,14.5,14,3,,,,
8/10/2023 11:01,31.3,57,2390,1571,14.5,9,2,,,,
8/10/2023 11:11,32,55,2548,1102,14.5,10,2,,,,
8/10/2023 11:21,32.6,53,2728,906,14,7,1,,,,
8/10/2023 11:31,32.9,53,2601,906,14,8,1,,,,
8/10/2023 11:41,32.9,53,2642,1118,13.6,6,1,,,,
8/10/2023 11:51,33,54,2622,1129,13.6,10,1,,,,
8/10/2023 12:01,33,54,2623,1350,13.6,7,2,,,,
8/10/2023 12:11,33.1,54,2651,1687,13.2,12,2,,,,AUGMENT THE DATA
8/10/2023 12:31,33.2,53,2036,2174,13.2,18,3,,,,
8/10/2023 12:41,33.2,51,2041,2291,12.7,16,2,,,,
8/10/2023 12:51,33.2,50,2021,2559,12.7,13,3,,,,
8/10/2023 13:01,33.2,50,2037,2461,12.7,17,3,,,,
8/10/2023 13:11,33.3,50,2102,2059,12.4,14,2,,,,
8/10/2023 13:21,33.3,50,2079,2345,12.2,11,2,,,,
8/10/2023 13:31,33.3,51,2062,3623,12,12,2,,,,
8/10/2023 13:41,33.3,51,2057,2374,11.7,6,3,,,,
8/10/2023 13:51,33.2,51,2052,2671,11.7,5,3,,,,
8/10/2023 14:01,33.2,51,2025,2543,11.7,1,3,,,,
8/10/2023 14:11,33.2,49,2035,3230,11.3,2,4,,,,
8/10/2023 14:21,33.3,48,2032,3501,11.3,0,2,,,,
8/10/2023 14:31,33.4,47,2033,3649,11.3,0,3,,,,
8/10/2023 14:41,33.4,46,2035,3709,11.3,4,3,,,,
8/10/2023 15:22,33.5,45,2045,4095,11.3,6,3,,,,
